Line	Source	BiGG	MNXM	Stuff	
12: bigg.metabolite:	oh1	MNXM02	Hydroxideion
207199: bigg.metabolite:	M01471	MNXM1092247	Cholesterol-Ester-6,9,12,15,18,21-Tetra
207202: bigg.metabolite:	M01472	MNXM1092248	Cholesterol-Ester-6,9,12,15,18-Tetraco
207205: bigg.metabolite:	M01473	MNXM1092249	Cholesterol-Ester-6,9,12,15-Octa
207210: bigg.metabolite:	M01474	MNXM1092250	Cholesterol-Ester-6,9-Octa
207213: bigg.metabolite:	M01477	MNXM1092251	Cholesterol-Ester-7-Hexa
207216: bigg.metabolite:	M01479	MNXM1092252	Cholesterol-Ester-7-Tetrade
207219: bigg.metabolite:	M01480	MNXM1092253	Cholesterol-Ester-8,11,14,17-Eico
207222: bigg.metabolite:	M01481	MNXM1092254	Cholesterol-Ester-8,11-Eico
207225: bigg.metabolite:	M01482	MNXM1092255	Cholesterol-Ester-9,12,15,18,21-Tetra
207228: bigg.metabolite:	M01483	MNXM1092256	Cholesterol-Ester-9,12,15,18-Tetraco
207231: bigg.metabolite:	M01484	MNXM1092257	Cholesterol-Ester-9-Eicose
207234: bigg.metabolite:	M01485	MNXM1092258	Cholesterol-Ester-9-Heptade
207237: bigg.metabolite:	M01486	MNXM1092259	Cholesterol-Ester-9-Octa
207242: bigg.metabolite:	M01489	MNXM1092260	Cholesterol-Ester-Cis-Vac
207245: bigg.metabolite:	M01494	MNXM1092261	Cholesterol-Ester-Heneico
207248: bigg.metabolite:	M01496	MNXM1092262	Cholesterol-Ester-Hexacosa
207251: bigg.metabolite:	M01497	MNXM1092263	Cholesterol-Ester-Hexecose
207254: bigg.metabolite:	M01508	MNXM1092264	Cholesterol-Ester-Tetraco
207257: bigg.metabolite:	M01509	MNXM1092265	Cholesterol-Ester-Trico
207260: bigg.metabolite:	M01510	MNXM1092266	Cholesterol-Ester-Tridec
207263: bigg.metabolite:	M01807	MNXM1092267	Fatty-Acid-Chylomicron-Pool
207266: bigg.metabolite:	M01869	MNXM1092268	(GlcNAc)6(Man)3(Asn)1
207269: bigg.metabolite:	M01870	MNXM1092269	(GlcNAc)7(Man)3(Asn)1
207272: bigg.metabolite:	M01871	MNXM1092270	(GalNAc)1(GlcNAc)1(Ser/Thr)1
207275: bigg.metabolite:	M01872	MNXM1092271	(Gal)1(GalNAc)1(GlcNAc)1(Ser/Thr)1
207278: bigg.metabolite:	M01881	MNXM1092272	(Gal)4(Glc)1(GlcNAc)3(LFuc)2(Cer)1
207281: bigg.metabolite:	M02012	MNXM1092273	Gm2A
207284: bigg.metabolite:	M02013	MNXM1092274	Gm2A:Gm2-Ganglioside
207287: bigg.metabolite:	M02186	MNXM1092275	Lactoisooctaosylceramide((Gal)4(Glc)1(GlcNAc)3(Cer)1)
207290: bigg.metabolite:	M02446	MNXM1092276	Maltoheptaose
207293: bigg.metabolite:	M02449	MNXM1092277	Maltopentaose
207296: bigg.metabolite:	M02490	MNXM1092278	Monofucosyllactoisooctaosylceramide
207299: bigg.metabolite:	M02491	MNXM1092279	Monosialylgalactosylgloboside
207304: bigg.metabolite:	M02560	MNXM1092280	Nefa-Blood-Pool-In
207307: bigg.metabolite:	M02561	MNXM1092281	Nefa-Blood-Pool-Out
207310: bigg.metabolite:	M02909	MNXM1092282	Smcfa-Blood-Pool
207313: bigg.metabolite:	M03017	MNXM1092283	Trans,Cis-2,8,11-EicosatrienoylCoenzymeA
207316: bigg.metabolite:	M03131	MNXM1092284	V3(Neuac)2-Gb5Cer((Gal)3(GalNAc)1(Glc)1(Neu5Ac)2(Cer)1)
207319: bigg.metabolite:	MNXM162	MNXM1092285	D-threo-isocitrate(3-)
207322: bigg.metabolite:	Ncarbsar	MNXM1092286	NCarbamoylsarcosine
207325: bigg.metabolite:	OA11_ST	MNXM1092287	PeriplasmicOantigengroupO:11polysaccharidewithashortchainlength(15repeatunits)
207328: bigg.metabolite:	OA11_VL	MNXM1092288	PeriplasmicOantigengroupO:11polysaccharidewithaverylongchainlength(100repeatunits)
207331: bigg.metabolite:	OA11__L	MNXM1092289	PeriplasmicOantigengroupO:11polysaccharidewithalongchainlength(25repeatunits)
207336: bigg.metabolite:	OA13_ST	MNXM1092290	PeriplasmicOantigengroupO:13polysaccharidewithashortchainlength(15repeatunits)
207339: bigg.metabolite:	OA13_VL	MNXM1092291	PeriplasmicOantigengroupO:13polysaccharidewithaverylongchainlength(100repeatunits)
207342: bigg.metabolite:	OA13__L	MNXM1092292	PeriplasmicOantigengroupO:13polysaccharidewithalongchainlength(25repeatunits)
207345: bigg.metabolite:	OA16_ST	MNXM1092293	PeriplasmicOantigengroupO:16polysaccharidewithashortchainlength(15repeatunits)
207348: bigg.metabolite:	OA16_VL	MNXM1092294	PeriplasmicOantigengroupO:16polysaccharidewithaverylongchainlength(100repeatunits)
207351: bigg.metabolite:	OA16__L	MNXM1092295	PeriplasmicOantigengroupO:16polysaccharidewithalongchainlength(25repeatunits)
207354: bigg.metabolite:	OA17_ST	MNXM1092296	PeriplasmicOantigengroupO:17polysaccharidewithashortchainlength(15repeatunits)
207357: bigg.metabolite:	OA17_VL	MNXM1092297	PeriplasmicOantigengroupO:17polysaccharidewithaverylongchainlength(100repeatunits)
207360: bigg.metabolite:	OA17__L	MNXM1092298	PeriplasmicOantigengroupO:17polysaccharidewithalongchainlength(25repeatunits)
207363: bigg.metabolite:	OA18_ST	MNXM1092299	PeriplasmicOantigengroupO:18polysaccharidewithashortchainlength(15repeatunits)
207374: bigg.metabolite:	OA18_VL	MNXM1092300	PeriplasmicOantigengroupO:18polysaccharidewithaverylongchainlength(100repeatunits)
207377: bigg.metabolite:	OA18__L	MNXM1092301	PeriplasmicOantigengroupO:18polysaccharidewithalongchainlength(25repeatunits)
207380: bigg.metabolite:	OA1_3_19_ST	MNXM1092302	PeriplasmicOantigengroupO:1319polysaccharidewithashortchainlength(15repeatunits)
207383: bigg.metabolite:	OA1_3_19_VL	MNXM1092303	PeriplasmicOantigengroupO:1319polysaccharidewithaverylongchainlength(100repeatunits)
207386: bigg.metabolite:	OA1_3_19__L	MNXM1092304	PeriplasmicOantigengroupO:1319polysaccharidewithalongchainlength(25repeatunits)
207389: bigg.metabolite:	OA21_ST	MNXM1092305	PeriplasmicOantigengroupO:21polysaccharidewithashortchainlength(15repeatunits)
207392: bigg.metabolite:	OA21_VL	MNXM1092306	PeriplasmicOantigengroupO:21polysaccharidewithaverylongchainlength(100repeatunits)
207395: bigg.metabolite:	OA21__L	MNXM1092307	PeriplasmicOantigengroupO:21polysaccharidewithalongchainlength(25repeatunits)
207398: bigg.metabolite:	OA28ab_ST	MNXM1092308	PeriplasmicOantigengroupO:28abpolysaccharidewithashortchainlength(15repeatunits)
207401: bigg.metabolite:	OA28ab_VL	MNXM1092309	PeriplasmicOantigengroupO:28abpolysaccharidewithaverylongchainlength(100repeatunits)
207406: bigg.metabolite:	OA28ab__L	MNXM1092310	PeriplasmicOantigengroupO:28abpolysaccharidewithalongchainlength(25repeatunits)
207409: bigg.metabolite:	OA28ac_ST	MNXM1092311	PeriplasmicOantigengroupO:28acpolysaccharidewithashortchainlength(15repeatunits)
207412: bigg.metabolite:	OA28ac_VL	MNXM1092312	PeriplasmicOantigengroupO:28acpolysaccharidewithaverylongchainlength(100repeatunits)
207415: bigg.metabolite:	OA28ac__L	MNXM1092313	PeriplasmicOantigengroupO:28acpolysaccharidewithalongchainlength(25repeatunits)
207418: bigg.metabolite:	OA2_ST	MNXM1092314	PeriplasmicOantigengroupO:2polysaccharidewithashortchainlength(15repeatunits)
207421: bigg.metabolite:	OA2_VL	MNXM1092315	PeriplasmicOantigengroupO:2polysaccharidewithaverylongchainlength(100repeatunits)
207424: bigg.metabolite:	OA2__L	MNXM1092316	PeriplasmicOantigengroupO:2polysaccharidewithalongchainlength(25repeatunits)
207427: bigg.metabolite:	OA30_ST	MNXM1092317	PeriplasmicOantigengroupO:30polysaccharidewithashortchainlength(15repeatunits)
207430: bigg.metabolite:	OA30_VL	MNXM1092318	PeriplasmicOantigengroupO:30polysaccharidewithaverylongchainlength(100repeatunits)
207433: bigg.metabolite:	OA30__L	MNXM1092319	PeriplasmicOantigengroupO:30polysaccharidewithalongchainlength(25repeatunits
207440: bigg.metabolite:	OA35_ST	MNXM1092320	PeriplasmicOantigengroupO:35polysaccharidewithashortchainlength(15repeatunits)
207443: bigg.metabolite:	OA35_VL	MNXM1092321	PeriplasmicOantigengroupO:35polysaccharidewithaverylongchainlength(100repeatunits)
207446: bigg.metabolite:	OA35__L	MNXM1092322	PeriplasmicOantigengroupO:35polysaccharidewithalongchainlength(25repeatunits)
207449: bigg.metabolite:	OA38_ST	MNXM1092323	PeriplasmicOantigengroupO:38polysaccharidewithashortchainlength(15repeatunits)
207452: bigg.metabolite:	OA38_VL	MNXM1092324	PeriplasmicOantigengroupO:38polysaccharidewithaverylongchainlength(100repeatunits)
207455: bigg.metabolite:	OA38__L	MNXM1092325	PeriplasmicOantigengroupO:38polysaccharidewithalongchainlength(25repeatunits)
207458: bigg.metabolite:	OA39_ST	MNXM1092326	PeriplasmicOantigengroupO:39polysaccharidewithashortchainlength(15repeatunits)
207461: bigg.metabolite:	OA39_VL	MNXM1092327	PeriplasmicOantigengroupO:39polysaccharidewithaverylongchainlength(100repeatunits)
207464: bigg.metabolite:	OA39__L	MNXM1092328	PeriplasmicOantigengroupO:39polysaccharidewithalongchainlength(25repeatunits)
207467: bigg.metabolite:	OA3_10_ST	MNXM1092329	PeriplasmicOantigengroupO:310polysaccharidewithashortchainlength(15repeatunits)
207472: bigg.metabolite:	OA3_10_VL	MNXM1092330	PeriplasmicOantigengroupO:310polysaccharidewithaverylongchainlength(100repeatunits)
207475: bigg.metabolite:	OA3_10__L	MNXM1092331	PeriplasmicOantigengroupO:310polysaccharidewithalongchainlength(25repeatunits)
207478: bigg.metabolite:	OA40_ST	MNXM1092332	PeriplasmicOantigengroupO:40polysaccharidewithashortchainlength(15repeatunits)
207481: bigg.metabolite:	OA40_VL	MNXM1092333	PeriplasmicOantigengroupO:40polysaccharidewithaverylongchainlength(100repeatunits)
207484: bigg.metabolite:	OA40__L	MNXM1092334	PeriplasmicOantigengroupO:40polysaccharidewithalongchainlength(25repeatunits)
207487: bigg.metabolite:	OA41_ST	MNXM1092335	PeriplasmicOantigengroupO:41polysaccharidewithalongchainlength(25repeatunits)
207490: bigg.metabolite:	OA41_VL	MNXM1092336	PeriplasmiclipopolysaccharidegroupO:41withashortOantigenpolysaccharide
207493: bigg.metabolite:	OA41__L	MNXM1092337	PeriplasmicOantigengroupO:41polysaccharidewithaverylongchainlength(100repeatunits)
207496: bigg.metabolite:	OA42_ST	MNXM1092338	PeriplasmicOantigengroupO:42polysaccharidewithashortchainlength(15repeatunits)
207499: bigg.metabolite:	OA42_VL	MNXM1092339	PeriplasmicOantigengroupO:42polysaccharidewithaverylongchainlength(100repeatunits)
207502: bigg.metabolite:	OA42__L	MNXM1092340	PeriplasmicOantigengroupO:42polysaccharidewithalongchainlength(25repeatunits)
207505: bigg.metabolite:	OA43_ST	MNXM1092341	PeriplasmicOantigengroupO:43polysaccharidewithashortchainlength(15repeatunits)
207508: bigg.metabolite:	OA43_VL	MNXM1092342	PeriplasmicOantigengroupO:43polysaccharidewithaverylongchainlength(100repeatunits)
207511: bigg.metabolite:	OA43__L	MNXM1092343	PeriplasmicOantigengroupO:43polysaccharidewithalongchainlength(25repeatunits)
207514: bigg.metabolite:	OA44_ST	MNXM1092344	PeriplasmicOantigengroupO:44polysaccharidewithashortchainlength(15repeatunits)
207517: bigg.metabolite:	OA44_VL	MNXM1092345	PeriplasmicOantigengroupO:44polysaccharidewithaverylongchainlength(100repeatunits)
207520: bigg.metabolite:	OA44__L	MNXM1092346	PeriplasmicOantigengroupO:44polysaccharidewithalongchainlength(25repeatunits)
207523: bigg.metabolite:	OA45_ST	MNXM1092347	PeriplasmicOantigengroupO:45polysaccharidewithashortchainlength(15repeatunits)
207526: bigg.metabolite:	OA45_VL	MNXM1092348	PeriplasmicOantigengroupO:45polysaccharidewithaverylongchainlength(100repeatunits)
207529: bigg.metabolite:	OA45__L	MNXM1092349	PeriplasmicOantigengroupO:45polysaccharidewithalongchainlength(25repeatunits)
207532: bigg.metabolite:	OA47_ST	MNXM1092350	PeriplasmicOantigengroupO:47polysaccharidewithashortchainlength(15repeatunits)
207535: bigg.metabolite:	OA47_VL	MNXM1092351	PeriplasmicOantigengroupO:47polysaccharidewithaverylongchainlength(100repeatunits)
207538: bigg.metabolite:	OA47__L	MNXM1092352	PeriplasmicOantigengroupO:47polysaccharidewithalongchainlength(25repeatunits)
207541: bigg.metabolite:	OA48_ST	MNXM1092353	PeriplasmicOantigengroupO:48polysaccharidewithashortchainlength(15repeatunits)
207544: bigg.metabolite:	OA48_VL	MNXM1092354	PeriplasmicOantigengroupO:48polysaccharidewithaverylongchainlength(100repeatunits)
207547: bigg.metabolite:	OA48__L	MNXM1092355	PeriplasmicOantigengroupO:48polysaccharidewithalongchainlength(25repeatunits)
207550: bigg.metabolite:	OA4_ST	MNXM1092356	PeriplasmicOantigengroupO:XXpolysaccharidewithashortchainlength(15repeatunits)
207553: bigg.metabolite:	OA4_VL	MNXM1092357	PeriplasmicOantigengroupO:XXpolysaccharidewithaverylongchainlength(100repeatunits)
207556: bigg.metabolite:	OA4__L	MNXM1092358	PeriplasmicOantigengroupO:XXpolysaccharidewithalongchainlength(25repeatunits)
207559: bigg.metabolite:	OA50_ST	MNXM1092359	PeriplasmicOantigengroupO:50polysaccharidewithashortchainlength(15repeatunits)
207562: bigg.metabolite:	OA50_VL	MNXM1092360	PeriplasmicOantigengroupO:50polysaccharidewithaverylongchainlength(100repeatunits)
207565: bigg.metabolite:	OA50__L	MNXM1092361	PeriplasmicOantigengroupO:50polysaccharidewithalongchainlength(25repeatunits)
207568: bigg.metabolite:	OA51_ST	MNXM1092362	PeriplasmicOantigengroupO:51polysaccharidewithashortchainlength(15repeatunits)
207571: bigg.metabolite:	OA51_VL	MNXM1092363	PeriplasmicOantigengroupO:51polysaccharidewithaverylongchainlength(100repeatunits)
207574: bigg.metabolite:	OA51__L	MNXM1092364	PeriplasmicOantigengroupO:51polysaccharidewithalongchainlength(25repeatunits)
207577: bigg.metabolite:	OA52_ST	MNXM1092365	PeriplasmicOantigengroupO:52polysaccharidewithashortchainlength(15repeatunits)
207580: bigg.metabolite:	OA52_VL	MNXM1092366	PeriplasmicOantigengroupO:52polysaccharidewithaverylongchainlength(100repeatunits)
207583: bigg.metabolite:	OA52__L	MNXM1092367	PeriplasmicOantigengroupO:52polysaccharidewithalongchainlength(25repeatunits)
207586: bigg.metabolite:	OA53_ST	MNXM1092368	PeriplasmicOantigengroupO:53polysaccharidewithalongchainlength(25repeatunits)
207589: bigg.metabolite:	OA53_VL	MNXM1092369	PeriplasmiclipopolysaccharidegroupO:53withashortOantigenpolysaccharide
207592: bigg.metabolite:	OA53__L	MNXM1092370	PeriplasmicOantigengroupO:53polysaccharidewithaverylongchainlength(100repeatunits)
207595: bigg.metabolite:	OA54	MNXM1092371	PeriplasmicOantigengroupO:54polysaccharidewith10repeatunits
207598: bigg.metabolite:	OA55_ST	MNXM1092372	PeriplasmicOantigengroupO:55polysaccharidewithashortchainlength(15repeatunits)
207601: bigg.metabolite:	OA55_VL	MNXM1092373	PeriplasmicOantigengroupO:55polysaccharidewithaverylongchainlength(100repeatunits)
207604: bigg.metabolite:	OA55__L	MNXM1092374	PeriplasmicOantigengroupO:55polysaccharidewithalongchainlength(25repeatunits
207607: bigg.metabolite:	OA56_ST	MNXM1092375	PeriplasmicOantigengroupO:56polysaccharidewithashortchainlength(15repeatunits)
207610: bigg.metabolite:	OA56_VL	MNXM1092376	PeriplasmicOantigengroupO:56polysaccharidewithaverylongchainlength(100repeatunits)
207613: bigg.metabolite:	OA56__L	MNXM1092377	PeriplasmicOantigengroupO:56polysaccharidewithalongchainlength(25repeatunits
207616: bigg.metabolite:	OA57_ST	MNXM1092378	PeriplasmicOantigengroupO:57polysaccharidewithashortchainlength(15repeatunits)
207619: bigg.metabolite:	OA57_VL	MNXM1092379	PeriplasmicOantigengroupO:57polysaccharidewithaverylongchainlength(100repeatunits)
207622: bigg.metabolite:	OA57__L	MNXM1092380	PeriplasmicOantigengroupO:57polysaccharidewithalongchainlength(25repeatunits)
207625: bigg.metabolite:	OA58_ST	MNXM1092381	PeriplasmicOantigengroupO:58polysaccharidewithashortchainlength(15repeatunits)
207628: bigg.metabolite:	OA58_VL	MNXM1092382	PeriplasmicOantigengroupO:58polysaccharidewithaverylongchainlength(100repeatunits)
207631: bigg.metabolite:	OA58__L	MNXM1092383	PeriplasmicOantigengroupO:58polysaccharidewithalongchainlength(25repeatunits)
207634: bigg.metabolite:	OA59_ST	MNXM1092384	PeriplasmicOantigengroupO:59polysaccharidewithashortchainlength(15repeatunits)
207637: bigg.metabolite:	OA59_VL	MNXM1092385	PeriplasmicOantigengroupO:59polysaccharidewithaverylongchainlength(100repeatunits)
207640: bigg.metabolite:	OA59__L	MNXM1092386	PeriplasmicOantigengroupO:59polysaccharidewithalongchainlength(25repeatunits)
207643: bigg.metabolite:	OA60_ST	MNXM1092387	PeriplasmicOantigengroupO:60polysaccharidewithashortchainlength(15repeatunits)
207646: bigg.metabolite:	OA60_VL	MNXM1092388	PeriplasmicOantigengroupO:60polysaccharidewithaverylongchainlength(100repeatunits)
207649: bigg.metabolite:	OA60__L	MNXM1092389	PeriplasmicOantigengroupO:60polysaccharidewithalongchainlength(25repeatunits)
207652: bigg.metabolite:	OA62_ST	MNXM1092390	PeriplasmicOantigengroupO:62polysaccharidewithashortchainlength(15repeatunits)
207655: bigg.metabolite:	OA62_VL	MNXM1092391	PeriplasmicOantigengroupO:62polysaccharidewithaverylongchainlength(100repeatunits)
207658: bigg.metabolite:	OA62__L	MNXM1092392	PeriplasmicOantigengroupO:62polysaccharidewithalongchainlength(25repeatunits)
207661: bigg.metabolite:	OA63_ST	MNXM1092393	PeriplasmicOantigengroupO:63polysaccharidewithashortchainlength(15repeatunits)
207664: bigg.metabolite:	OA63_VL	MNXM1092394	PeriplasmicOantigengroupO:63polysaccharidewithaverylongchainlength(100repeatunits)
207667: bigg.metabolite:	OA63__L	MNXM1092395	PeriplasmicOantigengroupO:63polysaccharidewithalongchainlength(25repeatunits)
207670: bigg.metabolite:	OA65_ST	MNXM1092396	PeriplasmicOantigengroupO:65polysaccharidewithashortchainlength(15repeatunits)
207673: bigg.metabolite:	OA65_VL	MNXM1092397	PeriplasmicOantigengroupO:65polysaccharidewithaverylongchainlength(100repeatunits)
207676: bigg.metabolite:	OA65__L	MNXM1092398	PeriplasmicOantigengroupO:65polysaccharidewithalongchainlength(25repeatunits)
207679: bigg.metabolite:	OA66_ST	MNXM1092399	PeriplasmicOantigengroupO:66polysaccharidewithashortchainlength(15repeatunits)
207686: bigg.metabolite:	OA66_VL	MNXM1092400	PeriplasmicOantigengroupO:66polysaccharidewithaverylongchainlength(100repeatunits)
207689: bigg.metabolite:	OA66__L	MNXM1092401	PeriplasmicOantigengroupO:66polysaccharidewithalongchainlength(25repeatunits)
207692: bigg.metabolite:	OA67	MNXM1092402	[Undecaprenyl-galactose-(beta1->3)-galactofuranose-(alpha1->3)]20
207695: bigg.metabolite:	OA6_14_ST	MNXM1092403	PeriplasmicOantigengroupO:614polysaccharidewithashortchainlength(15repeatunits)
207698: bigg.metabolite:	OA6_14_VL	MNXM1092404	PeriplasmicOantigengroupO:614polysaccharidewithaverylongchainlength(100repeatunits)
207701: bigg.metabolite:	OA6_14__L	MNXM1092405	PeriplasmicOantigengroupO:614polysaccharidewithalongchainlength(25repeatunits)
207704: bigg.metabolite:	OA7_ST	MNXM1092406	PeriplasmicOantigengroupO:7polysaccharidewithashortchainlength(15repeatunits)
207707: bigg.metabolite:	OA7_VL	MNXM1092407	PeriplasmicOantigengroupO:7polysaccharidewithaverylongchainlength(100repeatunits)
207710: bigg.metabolite:	OA7__L	MNXM1092408	PeriplasmicOantigengroupO:7polysaccharidewithalongchainlength(25repeatunits)
207713: bigg.metabolite:	OA8_ST	MNXM1092409	PeriplasmicOantigengroupO:8polysaccharidewithashortchainlength(15repeatunits)
207724: bigg.metabolite:	OA8_VL	MNXM1092410	PeriplasmicOantigengroupO:8polysaccharidewithaverylongchainlength(100repeatunits)
207727: bigg.metabolite:	OA8__L	MNXM1092411	PeriplasmicOantigengroupO:8polysaccharidewithalongchainlength(25repeatunits)
207730: bigg.metabolite:	OA9_46_27_ST	MNXM1092412	PeriplasmicOantigengroupO:94627polysaccharidewithashortchainlength(15repeatunits)
207733: bigg.metabolite:	OA9_46_27_VL	MNXM1092413	PeriplasmicOantigengroupO:94627polysaccharidewithaverylongchainlength(100repeatunits)
207736: bigg.metabolite:	OA9_46_27__L	MNXM1092414	PeriplasmicOantigengroupO:94627polysaccharidewithalongchainlength(25repeatunits
207739: bigg.metabolite:	OA9_46_ST	MNXM1092415	[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]15
207742: bigg.metabolite:	OA9_46_VL	MNXM1092416	[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]100
207745: bigg.metabolite:	OA9_46__L	MNXM1092417	[Undecaprenyl-diphosphate-galactose-(alpha1->3)-rhamnose-(alpha1->4)-mannose-(alpha1->3)-tyvelose]25
207748: bigg.metabolite:	OA9_ST	MNXM1092418	PeriplasmicOantigengroupO:9polysaccharidewithashortchainlength(15repeatunits)
207751: bigg.metabolite:	OA9_VL	MNXM1092419	PeriplasmicOantigengroupO:9polysaccharidewithaverylongchainlength(100repeatunits)
207754: bigg.metabolite:	OA9__L	MNXM1092420	PeriplasmicOantigengroupO:9polysaccharidewithalongchainlength(25repeatunits)
207757: bigg.metabolite:	OA_STmin	MNXM1092421	OASTmin
207760: bigg.metabolite:	PG	MNXM1092422	Peptidoglycan
207763: bigg.metabolite:	PG_ST	MNXM1092423	Acetylglucosamine--N-acetylmuramoyl-(tetrapeptide)diphospho-undecaprenoldimerwithL-(gly)5-Dcross-linkstrandlength6
207766: bigg.metabolite:	PG__L	MNXM1092424	Acetylglucosamine--N-acetylmuramoyl-(tetrapeptide)diphospho-undecaprenoldimerwithL-(gly)5-Dcross-linkstrandlength26
207769: bigg.metabolite:	PHAg	MNXM1092425	PreexistentPolyhydroxyalkanoategranule
207772: bigg.metabolite:	PROTEIN	MNXM1092426	Protein
207775: bigg.metabolite:	PROT_LLA	MNXM1092427	ProteinforbiomassLactisspecificv1
207778: bigg.metabolite:	PROT_LLA_v3	MNXM1092428	Proteinforbiomasslactisspecificv3
207781: bigg.metabolite:	R3hdec4coa	MNXM1092429	3Hydroxy4ZdecenoylCoA
207790: bigg.metabolite:	R3hdec4e	MNXM1092430	3Hydroxy4Zdecenicacid
207793: bigg.metabolite:	RNA	MNXM1092431	Ribonucleicacid
207796: bigg.metabolite:	RNA_LLA	MNXM1092432	RNAbiosynthesislactis
207799: bigg.metabolite:	R_3h4atba	MNXM1092433	3Hydroxy4acetylthiobutanoicacid
207802: bigg.metabolite:	R_3h4atbcoa	MNXM1092434	3Hydroxy4acetylthiobutanylCoA
207805: bigg.metabolite:	R_3h6atha	MNXM1092435	3Hydroxy6acetylthiohexanoicacid
207808: bigg.metabolite:	R_3h6athcoa	MNXM1092436	3Hydroxy6acetylthiohexanoylCoA
207811: bigg.metabolite:	R_3hcmrs7e	MNXM1092437	3hydroxycismyristol7en
207814: bigg.metabolite:	R_3hdcaa	MNXM1092438	3hydroxydecanoicacid
207817: bigg.metabolite:	R_3hdd5ea	MNXM1092439	3Hydroxydodecanoic5enacid
207826: bigg.metabolite:	R_3hdd6coa	MNXM1092440	3hydroxy6ZdodedecenylCoA
207829: bigg.metabolite:	R_3hdd6e	MNXM1092441	3Hydroxydodecanoic6enacid
207832: bigg.metabolite:	R_3hdda	MNXM1092442	3Hydroxydodecanoicacid
207835: bigg.metabolite:	R_3hhdca	MNXM1092443	3Hydroxyhexadecanoicacid
207838: bigg.metabolite:	R_3hhdcoa	MNXM1092444	3HydroxyhexadecanoylCoA
207841: bigg.metabolite:	R_3hhpa	MNXM1092445	3hydroxyheptanoicacid
207844: bigg.metabolite:	R_3hhpcoa	MNXM1092446	3HydroxyheptanoylCoA
207847: bigg.metabolite:	R_3hhxa	MNXM1092447	3hydroxyhexanoicacid
207850: bigg.metabolite:	R_3hnonaa	MNXM1092448	3hydroxynonanoicacid
207853: bigg.metabolite:	R_3hnonacoa	MNXM1092449	3HydroxynonanoylCoA
207860: bigg.metabolite:	R_3hocta	MNXM1092450	3hydroxyoctanoicacid
207863: bigg.metabolite:	R_3hpba	MNXM1092451	3Hydroxyphenylbutanoicacid
207866: bigg.metabolite:	R_3hpbcoa	MNXM1092452	3HydroxyphenylbutanoylCoA
207869: bigg.metabolite:	R_3hpdeca	MNXM1092453	3Hydroxy10phenyldecanoicacid
207872: bigg.metabolite:	R_3hpdecacoa	MNXM1092454	3HydroxyphenyldecanoylCoA
207875: bigg.metabolite:	R_3hphpa	MNXM1092455	3Hydroxy7phenylheptanoicacid
207878: bigg.metabolite:	R_3hphpcoa	MNXM1092456	3HydroxyphenylheptanoylCoA
207881: bigg.metabolite:	R_3hphxa	MNXM1092457	3Hydroxy6phenylhexanoicacid
207884: bigg.metabolite:	R_3hphxacoa	MNXM1092458	3HydroxyphenylhexanoylCoA
207887: bigg.metabolite:	R_3hpnona	MNXM1092459	3Hydroxy9phenylnonanoicacid
207895: bigg.metabolite:	R_3hpnonacoa	MNXM1092460	3HydroxyphenylnonanoylCoA
207898: bigg.metabolite:	R_3hpocta	MNXM1092461	3Hydroxy8phenyloctanoicacid
207901: bigg.metabolite:	R_3hpoctacoa	MNXM1092462	3HydroxyphenyloctanoylCoA
207904: bigg.metabolite:	R_3hppta	MNXM1092463	3Hydroxy5phenylpentanoicacic
207907: bigg.metabolite:	R_3hpptcoa	MNXM1092464	3HydroxyphenylpentanoylCoA
207910: bigg.metabolite:	R_3hpt	MNXM1092465	3Hydroxypentanoicacid
207913: bigg.metabolite:	R_3hptcoa	MNXM1092466	3HydroxpypentoylCoA
207916: bigg.metabolite:	R_3htd58coa	MNXM1092467	3hydroxy5Z8ZtetradecedienylCoA
207919: bigg.metabolite:	R_3htd58e	MNXM1092468	3hydroxy5Z8Ztetradecedienicacid
207922: bigg.metabolite:	R_3htd5coa	MNXM1092469	3hydroxy5ZtetradecenylCoA
207927: bigg.metabolite:	R_3htd5e	MNXM1092470	3hydroxy5Ztetradecenicacid
207930: bigg.metabolite:	R_3httdca	MNXM1092471	3Hydroxytetradecanoicacid
207933: bigg.metabolite:	R_actn	MNXM1092472	Acetoin
207936: bigg.metabolite:	SOLPOOL	MNXM1092473	SolutePools
207939: bigg.metabolite:	ST_xan	MNXM1092474	Staphyloxanthin||beta-D-glucopyranosyl1-O-(4,4'-diaponeurosporen-4-oate)-6-O-(12-methyltetradecanoate)
207942: bigg.metabolite:	WTA40r	MNXM1092475	(Rbo-P)40-[2-(alphaGlcNac)-Rbo-P]-Gro-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol
207945: bigg.metabolite:	WTA40rPG	MNXM1092476	Peptidoglycanboundwallteichoicacid
207948: bigg.metabolite:	WTA40r_ala	MNXM1092477	WTA40rala
207951: bigg.metabolite:	WTA40r_glcnac	MNXM1092478	[2-(betaGlcNac)-Rbo-P]n-[2-(alphaGlcNac)-Rbo-P]-Gro-P-Gro-P-ManNAc-GlcNAc-PP-undecaprenol
