BiGG,MNXM,description
M_actp_c,MNXM280,Acetyl phosphate
M_arbt6p_c,MNXM2806,Arbutin 6-phosphate
M_dhf_c,MNXM281,"7,8-Dihydrofolate"
M_taur_c,MNXM282,Taurine
M_datp_c,MNXM286,DATP
M_13ppd_c,MNXM2861,"1,3-Propanediol"
M_glyb_c,MNXM289,Glycine betaine
M_gly_c,MNXM29,Glycine
M_12dgr140_c,MNXM2902,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
M_oxa_c,MNXM291,Oxalate
M_rephaccoa_c,MNXM2919,"Ring 1,2-epoxyphenylacetyl-CoA"
M_cpgn_un_c,MNXM2999,Coprogen unloaded (no Fe(III))
M_atp_c,MNXM3,ATP
M_sarcs_c,MNXM300,Sarcosine
M_btn_c,MNXM304,Biotin
M_mptamp_c,MNXM3054,Adenylated molybdopterin
M_anhgm_c,MNXM3060,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
M_mththf_c,MNXM30887,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
M_mthgxl_c,MNXM310,Methylglyoxal
M_pydx_c,MNXM311,Pyridoxal
M_12dgr160_c,MNXM3132,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
M_ttdca_c,MNXM314,Tetradecanoate (n-C14:0)
M_23ccmp_c,MNXM3148,"2',3'-Cyclic CMP"
M_23cump_c,MNXM3150,"2',3'-Cyclic UMP"
M_cyst__L_c,MNXM319,L-Cystathionine
M_cph4_c,MNXM3194,"6-carboxy-5,6,7,8-tetrahydropterin"
M_pe160_c,MNXM32178,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
M_1agpe160_c,MNXM32511,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
M_1agpe120_c,MNXM32692,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
M_1agpe140_c,MNXM32693,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
M_1agpg120_c,MNXM32695,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
M_agm_c,MNXM328,Agmatine
M_glu__D_c,MNXM331,D-Glutamate
M_pppi_c,MNXM332,Inorganic triphosphate
M_oxam_c,MNXM3329,Oxamate
M_chor_c,MNXM337,Chorismate
M_glcn_c,MNXM341,D-Gluconate
M_crnDcoa_c,MNXM3411,D-carnitinyl-CoA
M_poaac_c,MNXM3415,Peroxyaminoacrylate
M_dgtp_c,MNXM344,DGTP
M_2agpe141_c,MNXM3447,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
M_2agpe181_c,MNXM3449,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
M_2agpg141_c,MNXM3452,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
M_2agpg181_c,MNXM3455,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
M_2agpg140_c,MNXM34739,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
M_2agpg160_c,MNXM34740,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
M_2agpe120_c,MNXM34808,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
M_2agpe140_c,MNXM34809,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
M_2agpe160_c,MNXM34810,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
M_2agpe180_c,MNXM34811,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
M_pppg9_c,MNXM351,Protoporphyrinogen IX
M_hom__L_c,MNXM353,L-Homoserine
M_nmn_c,MNXM355,NMN
M_ppa_c,MNXM356,Propionate (n-C3:0)
M_dctp_c,MNXM360,DCTP
M_aspsa_c,MNXM361,L-Aspartate 4-semialdehyde
M_LalaDglu_c,MNXM3630,L-alanine-D-glutamate
M_pyam5p_c,MNXM366,Pyridoxamine 5'-phosphate
M_g3pc_c,MNXM367,Sn-Glycero-3-phosphocholine
M_pe141_c,MNXM3693,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
M_gln__L_c,MNXM37,L-Glutamine
M_pan4p_c,MNXM373,Pantetheine 4'-phosphate
M_hqn_c,MNXM376,Hydroquinone
M_12dgr161_c,MNXM3774,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
M_12dgr181_c,MNXM3775,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
M_thym_c,MNXM386,Thymine
M_for_c,MNXM39,Formate
M_hpyr_c,MNXM392,Hydroxypyruvate
M_btnso_c,MNXM3932,D-biotin d-sulfoxide
M_dttp_c,MNXM394,DTTP
M_ahdt_c,MNXM397,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"
M_ddca_c,MNXM402,Dodecanoate (n-C12:0)
M_LalaLglu_c,MNXM4026,L-alanine-L-glutamate
M_adp_c,MNXM40333,ADP
M_4mop_c,MNXM404,4-Methyl-2-oxopentanoate
M_5aop_c,MNXM405,5-Amino-4-oxopentanoate
M_dcdp_c,MNXM411,DCDP
M_xdp_c,MNXM4133,XDP
M_uppg3_c,MNXM414,Uroporphyrinogen III
M_acser_c,MNXM418,O-Acetyl-L-serine
M_pydxn_c,MNXM419,Pyridoxine
M_thymd_c,MNXM420,Thymidine
M_4abz_c,MNXM421,4-Aminobenzoate
M_12dgr180_c,MNXM4217,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
M_4abutn_c,MNXM422,4-Aminobutanal
M_damp_c,MNXM432,DAMP
M_glyald_c,MNXM435,D-Glyceraldehyde
M_dgdp_c,MNXM436,DGDP
M_2ddglcn_c,MNXM440,2-Dehydro-3-deoxy-D-gluconate
M_dms_c,MNXM444,Dimethyl sulfide
M_tre6p_c,MNXM448,"Alpha,alpha'-Trehalose 6-phosphate"
M_cdpdddecg_c,MNXM4507,"CDP-1,2-didodecanoylglycerol"
M_dutp_c,MNXM452,DUTP
M_pdx5p_c,MNXM454,Pyridoxine 5'-phosphate
M_23dhb_c,MNXM455,"2,3-Dihydroxybenzoate"
M_betald_c,MNXM457,Betaine aldehyde
M_but_c,MNXM458,Butyrate (n-C4:0)
M_oaa_c,MNXM46,Oxaloacetate
M_dha_c,MNXM460,Dihydroxyacetone
M_lyx__L_c,MNXM4641,L-Lyxose
M_cbasp_c,MNXM465,N-Carbamoyl-L-aspartate
M_pacald_c,MNXM473,Phenylacetaldehyde
M_2h3oppan_c,MNXM475,2-Hydroxy-3-oxopropanoate
M_colipa_c,MNXM47647,Core oligosaccharide lipid A
M_5pg35pg_c,MNXM4772,5-Phosphoguanylyl(3->5)guanosine
M_4hoxpacd_c,MNXM479,4-Hydroxyphenylacetaldehyde
M_thdp_c,MNXM480,"2,3,4,5-Tetrahydrodipicolinate"
M_so2_c,MNXM4835,Sulfur dioxide
M_gthrd_c,MNXM490899,Reduced glutathione
M_duri_c,MNXM492,Deoxyuridine
M_12dgr120_c,MNXM4939,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
M_12dgr141_c,MNXM4940,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"
M_nadp_c,MNXM5,Nicotinamide adenine dinucleotide phosphate
M_N1aspmd_c,MNXM501,N1-Acetylspermidine
M_56dura_c,MNXM506,"5,6-dihydrouracil"
M_s17bp_c,MNXM507505,"Sedoheptulose 1,7-bisphosphate"
M_clpn120_c,MNXM5078,"Cardiolipin (tetradodecanoyl, n-C12:0)"
M_clpn180_c,MNXM5079,"Cardiolipin (tetraoctadecanoyl, n-C18:0)"
M_mqn8_c,MNXM509,Menaquinone 8
M_methf_c,MNXM511,"5,10-Methenyltetrahydrofolate"
M_pgp120_c,MNXM5266,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)"
M_pgp181_c,MNXM5269,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)"
M_pgp141_c,MNXM5271,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)"
M_pgp140_c,MNXM5272,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)"
M_26dap__M_c,MNXM529,"Meso-2,6-Diaminoheptanedioate"
M_3php_c,MNXM541,3-Phosphohydroxypyruvate
M_arab__D_c,MNXM544,D Arabinose
M_2hdecg3p_c,MNXM5465,2-hexadecanoyl-sn-glycerol 3-phosphate
M_hmbil_c,MNXM547,Hydroxymethylbilane
M_pydam_c,MNXM548,Pyridoxamine
M_2odecg3p_c,MNXM5481,2-octadecanoyl-sn-glycerol 3-phosphate
M_dhna_c,MNXM552,"1,4-Dihydroxy-2-naphthoate"
M_ppbng_c,MNXM554,Porphobilinogen
M_quln_c,MNXM555,Quinolinate
M_2dmmql8_c,MNXM558,2-Demethylmenaquinol 8
M_hphhlipa_c,MNXM56168,Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
M_dudp_c,MNXM572,DUDP
M_so4_c,MNXM58,Sulfate
M_alltt_c,MNXM584,Allantoate
M_LalaDgluMdapDala_c,MNXM59271,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
M_pant__R_c,MNXM593,(R)-Pantoate
M_murein5px3p_c,MNXM5970,"Two disacharide linked murein units, pentapeptide corsslinked tripeptide (A2pm->A2pm) (middle of chain)"
M_iasp_c,MNXM599,Iminoaspartate
M_hco3_c,MNXM60,Bicarbonate
M_skm_c,MNXM602,Shikimate
M_tym_c,MNXM603,Tyramine
M_h2mb4p_c,MNXM606,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
M_3dhsk_c,MNXM611,3-Dehydroshikimate
M_na15dap_c,MNXM6170,"N-3-aminopropyl-1,5-diaminopentane"
M_oxalcoa_c,MNXM618,Oxalyl-CoA
M_dxyl5p_c,MNXM622,1-deoxy-D-xylulose 5-phosphate
M_dad_2_c,MNXM625,Deoxyadenosine
M_anhgm3p_c,MNXM63489,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide
M_galctn__L_c,MNXM636,L-Galactonate
M_psclys_c,MNXM6409,Psicoselysine
M_26dap_LL_c,MNXM644,"LL-2,6-Diaminoheptanedioate"
M_34dhpha_c,MNXM645,3-4-Dihydroxyphenylacetate
M_dgsn_c,MNXM647,Deoxyguanosine
M_2ddg6p_c,MNXM649,2-Dehydro-3-deoxy-D-gluconate 6-phosphate
M_novbcn_c,MNXM65002,Novobiocin
M_aragund_c,MNXM65126,O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
M_mg2_c,MNXM653,Magnesium
M_1agpe141_c,MNXM6599,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
M_glyc3p_c,MNXM66,Glycerol 3-phosphate
M_peamn_c,MNXM660,Phenethylamine
M_1agpe161_c,MNXM6601,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
M_1agpg141_c,MNXM6604,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
M_1agpg160_c,MNXM6605,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
M_1agpg161_c,MNXM6606,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)
M_thmmp_c,MNXM662,Thiamin monophosphate
M_cgly_c,MNXM683,Cys Gly
M_glx_c,MNXM69,Glyoxylate
M_ser__D_c,MNXM694,D-Serine
M_apg141_c,MNXM7019,Acyl phosphatidylglycerol (n-C14:1)
M_apg161_c,MNXM7021,Acyl phosphatidylglycerol (n-C16:1)
M_apg181_c,MNXM7023,Acyl phosphatidylglycerol (n-C18:1)
M_dcyt_c,MNXM704,Deoxycytidine
M_clpn141_c,MNXM7149,"Cardiolipin (tetratetradec-7-enoyl, n-C14:1)"
M_dhpt_c,MNXM722728,Dihydropteroate
M_argsuc_c,MNXM722743,N(omega)-(L-Arginino)succinate
M_1agpe180_c,MNXM722840,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
M_acglc__D_c,MNXM722855,6-Acetyl-D-glucose
M_suc6p_c,MNXM725918,Sucrose 6-phosphate
M_mobd_c,MNXM726092,Molybdate
M_hmgth_c,MNXM726277,Hydroxymethylglutathione
M_so3_c,MNXM726339,Sulfite
M_fe2_c,MNXM726711,Fe2+ mitochondria
M_fe3_c,MNXM726712,Iron (Fe3+)
M_mmet_c,MNXM726752,S-Methyl-L-methionine
M_dhcinnm_c,MNXM726800,"2,3-dihydroxicinnamic acid"
M_sbzcoa_c,MNXM726805,O-Succinylbenzoyl-CoA
M_chtbs6p_c,MNXM726813,Diacetylchitobiose-6-phosphate
M_8aonn_c,MNXM726864,8-Amino-7-oxononanoate
M_cpgn_c,MNXM726879,Coprogen
M_hkntd_c,MNXM726882,2-hydroxy-6-ketononatrienedioate
M_cellb_c,MNXM726888,Cellobiose
M_2ahbut_c,MNXM726902,(S)-2-Aceto-2-hydroxybutanoate
M_seramp_c,MNXM726941,L-seryl-AMP
M_fe3dhbzs_c,MNXM727045,"Ferric 2,3-dihydroxybenzoylserine"
M_6hmhptpp_c,MNXM727068,6-hydroxymethyl-dihydropterin pyrophosphate
M_cynt_c,MNXM727224,Cyanate
M_u23ga_c,MNXM727269,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
M_coa_c,MNXM727276,Coenzyme A
M_lipidAds_c,MNXM727331,Lipid A Disaccharide
M_rbflvrd_c,MNXM727501,Reduced riboflavin
M_2shchc_c,MNXM727527,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
M_3pg_c,MNXM727604,3-Phospho-D-glycerate
M_cyan_c,MNXM727657,Hydrogen cyanide
M_pimACP_c,MNXM727687,Pimeloyl-[acyl-carrier protein]
M_mincyc_c,MNXM727814,Minocycline
M_xylu__L_c,MNXM727819,L-Xylulose
M_ascb__L_c,MNXM727871,L-Ascorbate
M_ag_c,MNXM727888,Silver
M_ditp_c,MNXM728062,DITP(4-)
M_gtspmd_c,MNXM728086,Glutathionylspermidine
M_prbatp_c,MNXM728132,1-(5-Phosphoribosyl)-ATP
M_acon_T_c,MNXM728255,Trans-Aconitate
M_udpLa4fn_c,MNXM728268,Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose
M_amp_c,MNXM728294,AMP
M_5caiz_c,MNXM728322,5-phosphoribosyl-5-carboxyaminoimidazole
M_ile__L_c,MNXM728337,L-Isoleucine
M_tagur_c,MNXM728349,D-Tagaturonate
M_crncoa_c,MNXM728470,L-Carnitinyl-CoA
M_6hmhpt_c,MNXM728662,6-hydroxymethyl dihydropterin
M_malcoame_c,MNXM728995,Malonyl-CoA methyl ester
M_lipoate_c,MNXM729132,Lipoate
M_23dhbzs_c,MNXM729151,"2,3-dihydroxybenzoylserine"
M_sl26da_c,MNXM729177,"N-Succinyl-LL-2,6-diaminoheptanedioate"
M_zn2_c,MNXM729215,Zinc
M_acmum6p_c,MNXM729216,N-acetylmuramate 6-phosphate
M_nh4_c,MNXM729302,Ammonium
M_gthox_c,MNXM729383,Oxidized glutathione
M_prbamp_c,MNXM729421,1-(5-Phosphoribosyl)-AMP
M_rdmbzi_c,MNXM729592,"N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
M_acac_c,MNXM729595,Acetoacetate
M_cbi_c,MNXM729643,Cobinamide
M_meoh_c,MNXM729800,Methanol
M_5mtr_c,MNXM729972,5-Methylthio-D-ribose
M_pep_c,MNXM73,Phosphoenolpyruvate
M_acglu_c,MNXM730,N-Acetyl-L-glutamate
M_thm_c,MNXM730135,Thiamin
M_phpyr_c,MNXM730221,Phenylpyruvate
M_dhnpt_c,MNXM730300,Dihydroneopterin
M_manglyc_c,MNXM730319,2(alpha-D-Mannosyl)-D-glycerate
M_2me4p_c,MNXM730435,2-C-methyl-D-erythritol 4-phosphate
M_lipa_c,MNXM730505,KDO(2)-lipid (A)
M_feoxam_c,MNXM730514,Generic ferrioxamine-Fe-III
M_2doxg6p_c,MNXM730537,2 Deoxy D glucose 6 phosphate
M_butso3_c,MNXM730561,Butanesulfonate
M_acmalt_c,MNXM730607,Acetyl-maltose
M_cechddd_c,MNXM730693,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol"
M_feenter_c,MNXM730707,Fe-enterobactin
M_3ig3p_c,MNXM730763,C'-(3-Indolyl)-glycerol 3-phosphate
M_4ppcys_c,MNXM730898,N-((R)-4-Phosphopantothenoyl)-L-cysteine
M_3c3hmp_c,MNXM730929,3-Carboxy-3-hydroxy-4-methylpentanoate
M_2sephchc_c,MNXM730931,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
M_4c2me_c,MNXM730948,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
M_cenchddd_c,MNXM730951,"Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol"
M_tag6p__D_c,MNXM731056,D-Tagatose 6-phosphate
M_gdpofuc_c,MNXM731066,GDP-4-oxo-L-fucose
M_tsul_c,MNXM731077,Thiosulfate
M_cu2_c,MNXM731166,Copper
M_fruur_c,MNXM731183,D-Fructuronate
M_35cgmp_c,MNXM731192,"3',5'-Cyclic GMP"
M_enlipa_c,MNXM731245,Phosphoethanolamine KDO(2)-lipid (A)
M_galt1p_c,MNXM731248,Galactitol 1-phosphate
M_ggptrc_c,MNXM731265,Gamma-glutamyl-putrescine
M_xylu__D_c,MNXM731281,D-Xylulose
M_ppt_c,MNXM731416,Phosphonate
M_uaccg_c,MNXM731472,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
M_pa160_c,MNXM731668,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
M_gmhep17bp_c,MNXM731697,"D-Glycero-D-manno-heptose 1,7-bisphosphate"
M_o16a2und_c,MNXM731709,(O16 antigen)x2 undecaprenyl diphosphate
M_o16a3und_c,MNXM731711,(O16 antigen)x3 undecaprenyl diphosphate
M_fc1p_c,MNXM731750,L-Fuculose 1-phosphate
M_rml_c,MNXM731755,L-Rhamnulose
M_lipidA_c,MNXM731760,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"
M_pg181_c,MNXM731815,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)"
M_rhcys_c,MNXM731817,S-Ribosyl-L-homocysteine
M_lac__D_c,MNXM731834,D-Lactate
M_lac__L_c,MNXM731835,L-Lactate
M_lipidX_c,MNXM731934,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate"
M_ni2_c,MNXM731950,Nickel
M_4fe4s_c,MNXM732007,[4Fe-4S] iron-sulfur cluster
M_glyc__R_c,MNXM732052,(R)-Glycerate
M_all__D_c,MNXM732104,D-Allose
M_1odec11eg3p_c,MNXM732145,1-octadec-11-enoyl-sn-glycerol 3-phosphate
M_uama_c,MNXM732162,UDP-N-acetylmuramoyl-L-alanine
M_ugmda_c,MNXM732166,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
M_no3_c,MNXM732398,Nitrate
M_citr__L_c,MNXM732471,L-Citrulline
M_hxan_c,MNXM732487,Hypoxanthine
M_2dr5p_c,MNXM732594,2-Deoxy-D-ribose 5-phosphate
M_h2o2_c,MNXM732620,Hydrogen peroxide
M_preq0_c,MNXM732649,7-cyano-7-carbaguanine
M_acmum_c,MNXM732757,N-Acetylmuramate
M_uagmda_c,MNXM732761,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
M_ctbtcoa_c,MNXM732837,Crotonobetainyl-CoA
M_3mob_c,MNXM732866,3-Methyl-2-oxobutanoate
M_lald__L_c,MNXM732880,L-Lactaldehyde
M_dxyl_c,MNXM732961,1-deoxy-D-xylulose
M_1hdecg3p_c,MNXM732965,1-hexadecanoyl-sn-glycerol 3-phosphate
M_unagamu_c,MNXM733023,Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate
M_udcpp_c,MNXM733031,Undecaprenyl phosphate
M_gua_c,MNXM733114,Guanine
M_cd2_c,MNXM733186,Cadmium
M_ascb6p_c,MNXM733261,L-ascorbate-6-phosphate
M_s7p_c,MNXM733314,Sedoheptulose 7-phosphate
M_2tpr3dpcoa_c,MNXM733374,2'-(5''-triphosphoribosyl)-3'-dephospho-CoA
M_fecrm_c,MNXM733434,Ferrichrome
M_pe120_c,MNXM733471,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)"
M_pe140_c,MNXM733473,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)"
M_14glucan_c,MNXM733515,"1,4-alpha-D-glucan"
M_rmn_c,MNXM733618,L-Rhamnose
M_dtdp4aaddg_c,MNXM733666,"DTDP-4-acetamido-4,6-dideoxy-D-galactose"
M_urdglyc_c,MNXM733673,(-)-Ureidoglycolate
M_Nmtrp_c,MNXM733784,N-Methyltryptophan
M_amob_c,MNXM733831,S-Adenosyl-4-methylthio-2-oxobutanoate
M_op4en_c,MNXM733877,2-Oxopent-4-enoate
M_eca2und_c,MNXM733908,(enterobacterial common antigen)x2 undecaprenyl-diphosphate
M_eca4und_c,MNXM733910,(enterobacterial common antigen)x4 undecaprenyl-diphosphate
M_23cgmp_c,MNXM733912,"2',3'-Cyclic GMP"
M_pe180_c,MNXM733922,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)"
M_23dhmb_c,MNXM734,"(R)-2,3-Dihydroxy-3-methylbutanoate"
M_pg160_c,MNXM734041,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
M_pgp160_c,MNXM734044,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
M_ps160_c,MNXM734047,"Phosphatidylserine (dihexadecanoyl, n-C16:0)"
M_anhm3p_c,MNXM734072,"1,6-anhydrous-N-Acetylmuramyl-tripeptide"
M_6pgc_c,MNXM734080,6-Phospho-D-gluconate
M_1odecg3p_c,MNXM734212,1-octadecanoyl-sn-glycerol 3-phosphate
M_tyrp_c,MNXM734272,Phosphotyrosine
M_ethso3_c,MNXM7343,Ethanesulfonate
M_1agpg140_c,MNXM734523,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
M_1tdecg3p_c,MNXM734523,1-tetradecanoyl-sn-glycerol 3-phosphate
M_man6pglyc_c,MNXM734566,2(alpha-D-Mannosyl-6-phosphate)-D-glycerate
M_xyl__D_c,MNXM734574,D-Xylose
M_gcald_c,MNXM734590,Glycolaldehyde
M_cu_c,MNXM734750,Cu+
M_arab__L_c,MNXM734859,L-Arabinose
M_pnto__R_c,MNXM734864,(R)-Pantothenate
M_kdo_c,MNXM734869,3-Deoxy-D-manno-2-octulosonate
M_doxrbcn_c,MNXM735003,Doxorubicin
M_acolipa_c,MNXM735042,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
M_dadp_c,MNXM735047,DADP
M_aconm_c,MNXM735058,E-3-carboxy-2-pentenedioate 6-methyl ester
M_indole_c,MNXM735090,Indole
M_all6p_c,MNXM735357,D-Allose 6-phosphate
M_o2_c,MNXM735438,O2
M_apg120_c,MNXM735474,Acyl phosphatidylglycerol (n-C12:0)
M_apg140_c,MNXM735476,Acyl phosphatidylglycerol (n-C14:0)
M_apg160_c,MNXM735478,Acyl phosphatidylglycerol (n-C16:0)
M_apg180_c,MNXM735480,Acyl phosphatidylglycerol (n-C18:0)
M_cholate_c,MNXM735592,Cholate c
M_cpppg3_c,MNXM735625,Coproporphyrinogen III
M_glucys_c,MNXM735669,Gamma-L-Glutamyl-L-cysteine
M_rbl__D_c,MNXM735687,D-Ribulose
M_4ppan_c,MNXM735771,D-4'-Phosphopantothenate
M_cl_c,MNXM735978,Chloride
M_3dhguln_c,MNXM736,3-Dehydro-L-gulonate
M_tmao_c,MNXM736072,Trimethylamine N-oxide
M_cinnm_c,MNXM736095,Trans-Cinnamate
M_5drib_c,MNXM736134,5'-deoxyribose
M_galur_c,MNXM736226,D-Galacturonate
M_clpn161_c,MNXM736306,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)"
M_clpn181_c,MNXM736311,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)"
M_cdpdhdec9eg_c,MNXM736316,"CDP-1,2-dihexadec-9-enoylglycerol"
M_cdpdodec11eg_c,MNXM736319,"CDP-1,2-dioctadec-11-enoylglycerol"
M_cdpdtdec7eg_c,MNXM736325,"CDP-1,2-ditetradec-7-enoylglycerol"
M_cdpdtdecg_c,MNXM736328,"CDP-1,2-ditetradecanoylglycerol"
M_cm_c,MNXM736341,Chloramphenicol
M_fald_c,MNXM736417,Formaldehyde
M_clpn160_c,MNXM736425,"Cardiolipin (tetrahexadecanoyl, n-C16:0)"
M_cdpdodecg_c,MNXM736453,"CDP-1,2-dioctadecanoylglycerol"
M_dgmp_c,MNXM736654,DGMP
M_sbt__D_c,MNXM736685,D-Sorbitol
M_quin_c,MNXM736788,Quinate
M_3dhq_c,MNXM736874,3-Dehydroquinate
M_cpe160_c,MNXM736944,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
M_cpe180_c,MNXM736947,"Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"
M_cpg160_c,MNXM736952,"Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
M_cpg180_c,MNXM736955,"Cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)"
M_4r5au_c,MNXM737103,4-(1-D-Ribitylamino)-5-aminouracil
M_pac_c,MNXM737265,Phenylacetic acid
M_cdg_c,MNXM737298,7-deaza-7-carboxyguanine
M_pphn_c,MNXM737312,Prephenate
M_fum_c,MNXM737340,Fumarate
M_5aizc_c,MNXM737371,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
M_pa140_c,MNXM737414,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate"
M_pg140_c,MNXM737417,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)"
M_halipa_c,MNXM737466,Hepta-acylated KDO(2)-lipid (A)
M_pa180_c,MNXM737489,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate"
M_pg180_c,MNXM737492,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)"
M_ser__L_c,MNXM737787,L-Serine
M_murein4px4p_c,MNXM737824,"Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
M_ckdo_c,MNXM737872,CMP-3-deoxy-D-manno-octulosonate
M_mi1p__D_c,MNXM737935,1D-myo-Inositol 1-phosphate
M_anhm4p_c,MNXM737948,"1,6-anhydrous-N-Acetylmuramyl-tetrapeptide"
M_gfgaragund_c,MNXM737969,Galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
M_gagicolipa_c,MNXM737974,Galactosyl-glucosyl-inner core oligosaccharide lipid A
M_tartr__L_c,MNXM737997,L-tartrate
M_cys__L_c,MNXM738068,L-Cysteine
M_ggagicolipa_c,MNXM738093,Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
M_gggagicolipa_c,MNXM738096,Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
M_gicolipa_c,MNXM738099,Glucosyl-inner core oligosaccharide lipid A
M_garagund_c,MNXM738102,Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
M_glycogen_c,MNXM738130,Glycogen
